[2026-03-19 00:31:24] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:24] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:31:28] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:28] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:31:32] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:32] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:31:36] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:36] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:31:47] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:47] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:31:51] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:51] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:31:56] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:31:56] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:00] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:32:00] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:07] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:32:07] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:15] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:32:15] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:22] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:32:22] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:28] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:34] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:40] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:45] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:50] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:56] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:32:57] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:00] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:01] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboad | user=admin | ip=127.0.0.1 | path=GET /admin_dashboad
[2026-03-19 00:33:04] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:04] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
